userId,min_above_below,n_total
813,16,41
814,21,49
815,180,481
816,49,118
817,15,54
818,7,21
819,9,24
820,49,105
821,38,79
822,22,68
823,10,26
824,28,67
825,20,47
826,12,25
827,116,288
828,7,29
829,34,83
830,37,106
831,165,398
832,7,28
833,188,537
834,16,36
835,26,58
836,30,93
837,22,56
838,130,267
839,13,38
840,42,98
841,66,164
842,9,21
843,31,72
844,7,20
845,33,136
846,54,127
847,78,211
848,219,462
849,15,35
850,24,69
851,16,41
852,26,54
853,15,32
854,129,356
855,8,50
856,57,128
857,41,121
858,121,275
859,14,32
860,22,65
861,67,174
862,32,108
863,82,313
864,166,542
865,169,340
866,56,256
867,15,41
868,87,184
869,37,108
870,10,26
871,10,24
872,40,111
873,13,28
874,43,97
875,84,248
876,9,20
877,12,28
878,46,121
879,21,42
880,32,126
881,137,308
882,20,53
883,18,44
884,150,413
885,9,23
886,269,567
887,163,443
888,13,41
889,28,66
890,169,377
891,8,32
892,6,29
893,96,214
894,54,131
895,22,56
896,35,110
897,9,24
898,43,117
899,10,20
900,38,101
901,28,60
902,49,100
903,22,49
904,11,26
905,182,424
906,15,30
907,12,30
908,11,31
909,601,1236
910,9,29
911,17,57
912,97,209
913,118,302
914,125,346
915,11,30
916,60,140
917,10,21
918,10,23
919,13,37
920,28,64
921,115,240
922,16,49
923,29,60
924,7,23
925,32,77
926,9,27
927,29,69
928,185,409
929,31,64
930,86,183
931,37,80
932,20,51
933,37,128
934,11,35
935,82,177
936,21,72
937,56,119
938,48,157
939,11,32
940,15,47
941,11,45
942,32,78
943,53,128
944,14,34
945,49,150
946,16,38
947,348,696
948,12,36
949,13,30
950,14,38
951,306,630
952,15,31
953,18,48
954,14,33
955,84,250
956,39,104
957,9,20
958,16,68
959,132,336
960,12,179
961,27,74
962,196,575
963,37,120
964,8,21
965,7,22
966,18,42
967,16,40
968,5,20
969,14,29
970,12,40
971,41,98
972,10,24
973,8,20
974,80,266
975,17,35
976,31,75
977,31,63
978,90,232
979,23,84
980,21,49
981,170,573
982,468,1098
983,2,34
984,41,91
985,171,363
986,8,25
987,14,51
988,28,67
989,11,35
990,13,30
991,304,673
992,9,22
993,11,25
994,10,22
995,4,20
996,12,30
997,77,183
998,12,25
999,28,61
1000,9,27
1001,38,102
1002,10,31
1003,34,104
1004,10,28
1005,49,99
1006,35,111
1007,34,72
1008,14,30
1009,24,52
1010,16,56
1011,10,25
1012,6,20
1013,41,109
1014,27,67
1015,340,837
1016,137,300
1017,68,138
1018,84,176
1019,23,67
1020,9,20
1021,14,42
1022,30,80
1023,71,183
1024,180,436
1025,365,1016
1026,7,25
1027,78,159
1028,43,97
1029,126,305
1030,24,77
1031,42,84
1032,35,104
1033,23,68
1034,16,35
1035,13,41
1036,55,153
1037,10,21
1038,30,66
1039,29,63
1040,11,28
1041,15,38
1042,19,40
1043,75,152
1044,14,46
1045,11,23
1046,90,193
1047,79,200
1048,1255,3527
1049,50,114
1050,532,1098
1051,25,61
1052,93,188
1053,123,325
1054,32,123
1055,13,31
1056,26,87
1057,498,1253
1058,10,20
1059,13,27
1060,10,20
1061,32,100
1062,13,27
1063,24,52
1064,37,81
1065,9,31
1066,6,23
1067,196,536
1068,18,39
1069,487,1028
1070,18,60
1071,38,99
1072,54,167
1073,17,49
1074,21,59
1075,49,111
1076,18,38
1077,32,83
1078,56,170
1079,25,74
1080,12,28
1081,15,34
1082,106,235
1083,10,22
1084,64,171
1085,12,24
1086,38,117
1087,95,264
1088,49,151
1089,380,899
1090,32,74
1091,23,62
1092,13,34
1093,9,21
1094,11,30
1095,1,74
1096,39,85
1097,48,100
1098,20,47
1099,39,84
1100,26,53
1101,16,35
1102,38,98
1103,380,828
1104,10,37
1105,27,59
1106,22,48
1107,16,33
1108,147,390
1109,7,20
1110,13,27
1111,7,43
1112,33,105
1113,45,101
1114,252,534
1115,59,160
1116,12,44
1117,31,73
1118,58,156
1119,164,331
1120,8,27
1121,10,23
1122,26,98
1123,14,38
1124,10,24
1125,9,22
1126,15,41
1127,55,150
1128,94,205
1129,48,96
1130,10,22
1131,67,169
1132,41,119
1133,23,54
1134,67,203
1135,50,132
1136,36,102
1137,30,72
1138,61,149
1139,8,26
1140,523,1316
1141,38,104
1142,9,27
1143,39,126
1144,9,25
1145,17,73
1146,68,203
1147,10,20
1148,83,178
1149,122,381
1150,15,41
1151,168,387
1152,24,87
1153,29,70
1154,40,102
1155,75,178
1156,14,36
1157,8,20
1158,51,131
1159,20,42
1160,19,49
1161,243,618
1162,13,33
1163,19,51
1164,30,73
1165,30,84
1166,147,327
1167,29,66
1168,342,796
1169,35,115
1170,88,184
1171,16,36
1172,7,20
1173,20,51
1174,207,455
1175,52,115
1176,10,23
1177,8,20
1178,9,24
1179,10,27
1180,6,27
1181,33,67
1182,14,31
1183,101,215
1184,15,52
1185,163,434
1186,10,51
1187,5,25
1188,18,42
1189,40,93
1190,49,123
1191,44,114
1192,31,101
1193,127,298
1194,19,40
1195,17,39
1196,13,37
1197,104,271
1198,18,44
1199,135,414
1200,10,20
1201,42,86
1202,34,68
1203,9,32
1204,14,29
1205,93,203
1206,18,42
1207,14,38
1208,31,101
1209,306,616
1210,66,198
1211,50,112
1212,9,23
1213,44,102
1214,14,38
1215,166,387
1216,179,414
1217,9,29
1218,18,54
1219,9,25
1220,40,106
1221,8,20
1222,8,32
1223,69,176
1224,36,116
1225,34,87
1226,121,450
1227,36,123
1228,56,131
1229,62,132
1230,26,55
1231,30,69
1232,7,31
1233,20,46
1234,134,280
1235,249,600
1236,20,57
1237,63,177
1238,75,176
1239,142,320
1240,120,253
1241,93,282
1242,9,24
1243,62,144
1244,44,110
1245,49,179
1246,32,69
1247,33,77
1248,26,53
1249,15,45
1250,15,35
1251,25,69
1252,22,54
1253,42,110
1254,56,144
1255,11,23
1256,16,37
1257,15,31
1258,37,113
1259,14,47
1260,50,148
1261,7,25
1262,14,42
1263,12,26
1264,269,551
1265,11,24
1266,27,73
1267,50,169
1268,15,45
1269,143,303
1270,27,56
1271,186,396
1272,35,95
1273,201,617
1274,113,288
1275,16,50
1276,50,149
1277,9,24
1278,78,231
1279,208,573
1280,14,36
1281,16,44
1282,10,21
1283,50,148
1284,10,24
1285,17,54
1286,37,101
1287,10,32
1288,11,28
1289,60,161
1290,10,23
1291,24,61
1292,10,26
1293,8,34
1294,50,102
1295,23,57
1296,12,29
1297,84,219
1298,378,827
1299,31,90
1300,220,487
1301,51,125
1302,112,374
1303,24,51
1304,26,65
1305,42,120
1306,373,983
1307,46,109
1308,31,70
1309,32,81
1310,41,107
1311,13,57
1312,12,43
1313,33,77
1314,212,429
1315,30,81
1316,40,129
1317,214,497
1318,47,111
1319,170,401
1320,79,219
1321,5,20
1322,41,112
1323,137,401
1324,10,21
1325,21,44
1326,34,71
1327,143,353
1328,15,31
1329,19,38
1330,7,21
1331,34,88
1332,15,48
1333,26,62
1334,105,257
1335,138,320
1336,96,294
1337,17,37
1338,214,489
1339,51,111
1340,13,45
1341,14,35
1342,12,28
1343,24,101
1344,20,44
1345,17,48
1346,33,132
1347,59,185
1348,15,32
1349,37,82
1350,70,143
1351,54,127
1352,69,154
1353,12,45
1354,141,346
1355,34,82
1356,13,27
1357,90,233
1358,28,57
1359,61,128
1360,289,780
1361,27,68
1362,42,105
1363,47,106
1364,25,56
1365,11,23
1366,7,26
1367,19,38
1368,6,25
1369,31,109
1370,53,129
1371,6,20
1372,7,29
1373,28,72
1374,58,156
1375,260,622
1376,14,31
1377,9,27
1378,10,36
1379,1,21
1380,18,39
1381,47,96
1382,39,121
1383,12,38
1384,15,51
1385,46,93
1386,85,227
1387,43,87
1388,13,29
1389,10,20
1390,14,35
1391,17,46
1392,39,133
1393,28,82
1394,97,202
1395,48,118
1396,47,129
1397,12,25
1398,28,62
1399,68,163
1400,25,59
1401,35,111
1402,112,252
1403,34,101
1404,10,35
1405,55,114
1406,6,23
1407,119,266
1408,12,26
1409,22,64
1410,9,34
1411,584,2269
1412,10,23
1413,24,51
1414,54,152
1415,19,49
1416,50,116
1417,37,108
1418,15,31
1419,17,36
1420,90,269
1421,893,1850
1422,8,20
1423,63,216
1424,168,363
1425,63,223
1426,85,186
1427,18,40
1428,18,37
1429,5,23
1430,12,24
1431,13,33
1432,42,96
1433,27,67
1434,14,39
1435,12,39
1436,9,43
1437,42,85
1438,10,25
1439,35,78
1440,130,265
1441,24,119
1442,375,794
1443,20,45
1444,15,30
1445,12,27
1446,37,113
1447,40,81
1448,74,151
1449,15,30
1450,10,20
1451,14,33
1452,11,23
1453,72,162
1454,17,58
1455,5,21
1456,62,159
1457,90,180
1458,86,283
1459,67,152
1460,31,82
1461,79,165
1462,29,105
1463,32,71
1464,10,30
1465,4,20
1466,8,24
1467,7,20
1468,74,165
1469,102,403
1470,38,102
1471,14,30
1472,45,143
1473,10,26
1474,166,362
1475,65,140
1476,52,123
1477,171,412
1478,8,21
1479,16,36
1480,147,324
1481,18,43
1482,18,39
1483,96,218
1484,26,56
1485,40,97
1486,32,72
1487,40,96
1488,14,35
1489,104,268
1490,105,310
1491,12,25
1492,20,59
1493,10,21
1494,169,482
1495,69,153
1496,31,62
1497,19,54
1498,31,66
1499,33,72
1500,18,37
1501,282,596
1502,12,33
1503,37,93
1504,19,52
1505,23,51
1506,9,24
1507,111,361
1508,90,189
1509,62,159
1510,35,103
1511,9,23
1512,125,362
1513,12,51
1514,33,96
1515,101,318
1516,8,21
1517,9,29
1518,17,39
1519,309,662
1520,26,56
1521,27,61
1522,526,1259
1523,8,32
1524,27,71
1525,37,86
1526,50,114
1527,50,113
1528,22,65
1529,6,24
1530,119,270
1531,20,52
1532,50,108
1533,329,721
1534,20,49
1535,64,135
1536,122,314
1537,87,259
1538,2,26
1539,41,100
1540,52,118
1541,165,332
1542,58,127
1543,17,36
1544,191,483
1545,42,101
1546,10,27
1547,27,61
1548,28,68
1549,50,148
1550,11,28
1551,1058,2192
1552,24,68
1553,50,125
1554,17,38
1555,160,333
1556,116,246
1557,50,117
1558,120,338
1559,15,32
1560,55,119
1561,47,113
1562,8,20
1563,18,49
1564,16,35
1565,106,229
1566,21,44
1567,12,36
1568,49,106
1569,19,67
1570,67,176
1571,8,23
1572,4,30
1573,7,30
1574,72,169
1575,28,66
1576,213,497
1577,72,187
1578,9,42
1579,13,33
1580,27,62
1581,14,36
1582,14,31
1583,40,91
1584,20,43
1585,24,52
1586,49,125
1587,17,35
1588,27,57
1589,16,33
1590,101,431
1591,45,108
1592,26,68
1593,40,83
1594,25,63
1595,61,188
1596,10,23
1597,9,25
1598,25,81
1599,51,125
1600,18,67
1601,88,195
1602,1,186
1603,23,57
1604,13,35
1605,28,79
1606,12,28
1607,11,27
1608,10,21
1609,134,270
1610,34,107
1611,75,179
1612,57,125
1613,15,45
1614,39,89
1615,25,68
1616,14,32
1617,827,2150
1618,5,22
1619,21,50
1620,23,66
1621,12,26
1622,51,159
1623,149,388
1624,61,147
1625,7,22
1626,18,42
1627,142,323
1628,46,95
1629,458,980
1630,23,48
1631,16,48
1632,25,65
1633,8,27
1634,5,31
1635,24,59
1636,80,204
1637,33,83
1638,310,727
1639,11,35
1640,16,32
1641,49,113
1642,65,136
1643,9,24
1644,7,24
1645,12,26
1646,25,61
1647,30,62
1648,268,570
1649,16,35
1650,22,51
1651,62,182
1652,70,172
1653,99,280
1654,21,60
1655,25,82
1656,282,564
1657,83,352
1658,9,40
1659,22,46
1660,13,31
1661,21,75
1662,10,32
1663,18,40
1664,39,153
1665,5,21
1666,72,156
1667,189,471
1668,1229,2591
1669,12,43
1670,42,98
1671,74,204
1672,9,21
1673,13,46
1674,74,250
1675,10,33
1676,30,74
1677,35,84
1678,15,37
1679,9,22
1680,15,35
1681,62,150
1682,86,213
1683,24,70
1684,5,22
1685,326,743
1686,25,74
1687,15,34
1688,169,557
1689,39,92
1690,87,218
1691,33,67
1692,13,38
1693,21,66
1694,28,56
1695,41,91
1696,11,31
1697,12,27
1698,57,122
1699,10,20
1700,18,63
1701,135,316
1702,44,132
1703,118,370
1704,11,38
1705,35,76
1706,14,31
1707,203,609
1708,18,55
1709,18,48
1710,19,56
1711,10,21
1712,11,25
1713,221,549
1714,15,33
1715,65,192
1716,22,57
1717,49,136
1718,47,183
1719,122,286
1720,7,20
1721,146,434
1722,23,48
1723,108,276
1724,6,25
1725,26,86
1726,178,457
1727,6,27
1728,18,46
1729,47,201
1730,43,133
1731,66,166
1732,31,82
1733,13,27
1734,23,52
1735,627,1581
1736,28,72
1737,158,348
1738,11,24
1739,513,1656
1740,22,60
1741,14,82
1742,14,49
1743,363,891
1744,26,68
1745,89,187
1746,16,36
1747,22,60
1748,33,83
1749,12,28
1750,9,20
1751,57,175
1752,15,36
1753,18,46
1754,9,20
1755,18,40
1756,204,602
1757,26,73
1758,47,134
1759,18,49
1760,65,136
1761,8,20
1762,15,38
1763,46,118
1764,99,214
1765,48,107
1766,557,1154
1767,13,30
1768,13,26
1769,48,115
1770,16,43
1771,16,33
1772,40,104
1773,16,35
1774,11,23
1775,9,21
1776,29,89
1777,64,179
1778,122,379
1779,267,917
1780,190,451
1781,131,433
1782,15,39
1783,425,909
1784,25,83
1785,56,132
1786,4,45
1787,39,101
1788,19,44
1789,20,50
1790,11,32
1791,17,36
1792,74,158
1793,91,206
1794,95,260
1795,36,111
1796,16,46
1797,19,59
1798,28,60
1799,217,568
1800,8,27
1801,19,52
1802,15,59
1803,52,139
1804,29,58
1805,30,73
1806,204,723
1807,7,22
1808,10,23
1809,16,44
1810,91,278
1811,29,75
1812,331,687
1813,37,134
1814,26,78
1815,48,137
1816,26,65
1817,12,27
1818,1,23
1819,139,299
1820,19,56
1821,10,32
1822,11,28
1823,21,52
1824,185,599
1825,11,26
1826,38,99
1827,69,188
1828,34,90
1829,17,58
1830,26,81
1831,15,44
1832,18,37
1833,18,52
1834,80,249
1835,28,58
1836,96,231
1837,6,21
1838,27,57
1839,41,108
1840,37,85
1841,46,122
1842,522,1142
1843,23,99
1844,264,562
1845,52,117
1846,8,23
1847,43,89
1848,83,199
1849,18,67
1850,36,127
1851,72,147
1852,22,61
1853,23,53
1854,10,24
1855,24,50
1856,12,37
1857,11,23
1858,56,245
1859,23,55
1860,646,1377
1861,273,555
1862,114,267
1863,43,100
1864,36,100
1865,122,368
1866,124,289
1867,218,527
1868,17,58
1869,57,152
1870,59,163
1871,22,45
1872,12,27
1873,49,106
1874,128,257
1875,7,22
1876,257,533
1877,57,186
1878,77,163
1879,40,93
1880,42,114
1881,55,146
1882,14,30
1883,9,22
1884,71,226
1885,38,98
1886,13,27
1887,12,29
1888,11,45
1889,38,77
1890,22,68
1891,152,320
1892,11,25
1893,9,43
1894,17,50
1895,9,21
1896,170,358
1897,44,116
1898,8,20
1899,26,66
1900,59,136
1901,70,164
1902,9,27
1903,20,52
1904,16,43
1905,12,66
1906,52,142
1907,134,271
1908,60,159
1909,13,31
1910,62,125
1911,18,38
1912,12,24
1913,0,50
1914,35,145
1915,36,91
1916,335,694
1917,4,26
1918,150,306
1919,38,94
1920,599,1350
1921,59,166
1922,25,62
1923,14,41
1924,20,44
1925,6,23
1926,11,24
1927,30,110
1928,187,394
1929,17,41
1930,32,83
1931,3,25
1932,7,20
1933,12,29
1934,21,58
1935,18,44
1936,71,181
1937,88,187
1938,39,112
1939,33,90
1940,140,282
1941,7,20
1942,132,343
1943,15,40
1944,15,30
1945,29,69
1946,62,145
1947,142,288
1948,38,105
1949,20,62
1950,126,311
1951,15,37
1952,6,21
1953,664,1358
1954,60,128
1955,14,29
1956,39,101
1957,79,262
1958,17,41
1959,50,178
1960,15,34
1961,35,146
1962,28,59
1963,176,452
1964,165,457
1965,13,32
1966,17,41
1967,4,22
1968,123,317
1969,49,100
1970,7,20
1971,71,206
1972,12,26
1973,9,22
1974,76,162
1975,27,127
1976,13,29
1977,22,45
1978,44,101
1979,13,26
1980,32,70
1981,12,44
1982,26,61
1983,80,172
1984,8,21
1985,13,55
1986,119,397
1987,19,49
1988,7,24
1989,27,58
1990,35,74
1991,52,108
1992,7,23
1993,10,22
1994,22,51
1995,68,172
1996,26,54
1997,69,176
1998,16,33
1999,61,151
2000,19,42
2001,170,451
2002,18,40
2003,52,141
2004,69,142
2005,9,30
2006,155,383
2007,68,144
2008,24,53
2009,77,197
2010,16,62
2011,20,46
2012,221,460
2013,32,93
2014,12,35
2015,49,120
2016,35,80
2017,2,231
2018,18,41
2019,92,232
2020,11,24
2021,16,57
2022,7,20
2023,13,40
2024,44,109
2025,41,131
2026,25,53
2027,63,143
2028,14,32
2029,25,68
2030,13,53
2031,140,285
2032,26,91
2033,58,183
2034,12,30
2035,36,120
2036,66,163
2037,119,271
2038,10,30
2039,58,122
2040,7,20
2041,21,43
2042,56,144
2043,8,23
2044,38,78
2045,12,29
2046,89,206
2047,85,192
2048,9,33
2049,16,46
2050,19,44
2051,86,269
2052,70,158
2053,290,617
2054,77,166
2055,228,503
2056,15,33
2057,98,232
2058,30,66
2059,19,38
2060,10,22
2061,57,119
2062,15,50
2063,22,46
2064,90,240
2065,12,26
2066,8,35
2067,13,28
2068,91,218
2069,1,25
2070,97,233
2071,193,393
2072,42,89
2073,22,49
2074,316,806
2075,25,59
2076,7,28
2077,48,107
2078,38,127
2079,9,20
2080,11,25
2081,12,25
2082,55,146
2083,7,23
2084,9,23
2085,27,81
2086,437,937
2087,36,123
2088,50,108
2089,22,45
2090,54,172
2091,18,62
2092,18,37
2093,13,31
2094,138,477
2095,12,28
2096,7,20
2097,9,25
2098,100,288
2099,29,65
2100,9,22
2101,8,20
2102,14,30
2103,11,25
2104,22,55
2105,12,32
2106,18,58
2107,33,72
2108,42,118
2109,277,650
2110,10,30
2111,11,23
2112,356,973
2113,4,44
2114,60,134
2115,60,216
2116,8,20
2117,16,42
2118,53,147
2119,81,240
2120,52,117
2121,59,150
2122,94,188
2123,118,318
2124,144,359
2125,10,27
2126,26,54
2127,17,39
2128,62,175
2129,47,161
2130,27,59
2131,25,61
2132,96,215
2133,6,26
